country,year,cluster,lat,lon,households,wealthpooled,urban_rural,fold
angola,2015,1,-12.1014,14.1407,26,-1.1326385,0.0,D
angola,2015,2,-9.6635,20.377,26,0.6698427,1.0,E
angola,2015,3,-8.9289,13.2995,10,1.5155905,1.0,D
angola,2015,4,-14.2876,17.6217,26,-0.5591352,0.0,B
angola,2015,5,-14.211,13.5463,26,-1.1861184,0.0,B
angola,2015,6,-5.562,12.2115,25,1.5846177,1.0,D
angola,2015,7,-5.5802,12.1912,25,1.6973333,1.0,D
angola,2015,8,-12.3533,14.7787,22,0.08311084,1.0,D
angola,2015,9,-11.6102,14.4608,25,-0.95577794,0.0,E
angola,2015,10,-8.8282,13.3354,25,1.2438675,1.0,D
angola,2015,11,-8.8888,13.3532,23,1.7684237,1.0,D
angola,2015,12,-14.2364,12.4154,23,-0.4440743,0.0,C
angola,2015,13,-9.0969,15.7412,26,-1.061425,0.0,C
angola,2015,14,-14.6667,17.6867,26,-0.10826232,1.0,E
angola,2015,15,-14.9218,13.5108,26,1.714279,1.0,C
angola,2015,16,-8.9085,20.2594,26,-1.2488078,0.0,E
angola,2015,17,-12.2757,16.0263,26,-0.8464668,0.0,E
angola,2015,18,-9.5535,16.3891,26,1.148126,1.0,D
angola,2015,19,-13.7052,14.5974,26,-1.0938611,0.0,D
angola,2015,20,-15.3413,21.4856,26,-1.036482,0.0,D
angola,2015,21,-8.6971,19.7275,26,-1.3568355,0.0,D
angola,2015,22,-7.3742,20.8097,23,1.8061017,1.0,E
angola,2015,23,-8.9106,13.455,24,0.68549305,0.0,D
angola,2015,24,-10.5612,17.4244,26,-0.7654207,0.0,D
angola,2015,25,-8.8813,13.3151,26,1.7518587,1.0,D
angola,2015,26,-6.8195,13.3273,19,0.82195,1.0,B
angola,2015,27,-10.1519,19.2647,26,-0.54857486,1.0,A
angola,2015,28,-8.4612,20.7153,25,-0.2809092,1.0,B
angola,2015,29,-10.4035,15.5296,16,-0.79047894,0.0,D
angola,2015,30,-9.6435,20.4052,26,-0.1320091,1.0,E
angola,2015,31,-12.379,16.9205,25,0.3179624,1.0,E
angola,2015,32,-14.3388,14.9556,26,-0.6996906,0.0,C
angola,2015,33,-8.8839,13.2206,22,1.4792907,1.0,D
angola,2015,34,-8.5864,13.6568,26,1.3120643,1.0,D
angola,2015,35,-9.6747,20.3792,26,-0.24261852,1.0,E
angola,2015,36,-9.5316,16.3341,26,1.3783981,1.0,D
angola,2015,37,-13.2682,16.287,23,-1.1094804,0.0,B
angola,2015,38,-12.5381,13.4862,23,1.1166149,1.0,A
angola,2015,39,-10.0803,17.557,23,-0.4235197,1.0,C
angola,2015,40,-13.9708,13.6815,26,-1.2127905,0.0,A
angola,2015,41,-14.7447,17.7235,26,-0.7996687,0.0,E
angola,2015,42,-8.9246,13.1722,26,1.9214829,1.0,D
angola,2015,43,-9.046,16.0007,25,-0.69698584,0.0,C
angola,2015,44,-8.8795,13.2951,15,1.7813367,1.0,D
angola,2015,45,-9.6854,14.4415,23,1.1525501,1.0,D
angola,2015,46,-12.4733,14.1567,23,-0.8073603,1.0,D
angola,2015,47,-15.21,12.1648,26,0.36473402,1.0,A
angola,2015,48,-13.5924,13.9466,24,0.19777896,1.0,B
angola,2015,49,-15.117,12.1504,25,-0.1559202,1.0,A
angola,2015,50,-17.0487,16.5032,26,-1.052314,0.0,C
angola,2015,51,-8.466,15.2607,24,-0.44262567,1.0,C
angola,2015,52,-11.1126,23.7081,18,-0.77709967,0.0,C
angola,2015,53,-6.1491,12.3593,17,0.8641911,1.0,D
angola,2015,54,-9.6771,20.3958,26,0.76602787,1.0,E
angola,2015,55,-6.2578,14.2154,18,-0.0072116815,1.0,B
angola,2015,56,-10.8994,16.0914,19,-0.6128539,0.0,B
angola,2015,57,-6.1072,14.6288,25,-0.0651742,1.0,A
angola,2015,58,-9.5512,16.36,23,1.1340973,1.0,D
angola,2015,59,-12.7573,15.7567,20,1.8371692,1.0,B
angola,2015,60,-8.4241,20.7358,23,0.6838541,1.0,B
angola,2015,61,-15.1866,12.172,26,1.611539,1.0,A
angola,2015,62,-12.6476,13.3773,25,0.9292605,1.0,A
angola,2015,63,-9.004,20.4129,26,-0.77181244,0.0,A
angola,2015,64,-8.7808,18.0038,20,-0.4809178,1.0,A
angola,2015,65,-17.1931,15.5905,24,-0.77288526,0.0,B
angola,2015,66,-8.8084,13.3367,21,1.2478139,1.0,D
angola,2015,67,-4.7662,12.5107,21,0.51015,0.0,B
angola,2015,68,-8.8454,13.3269,26,1.3035235,1.0,D
angola,2015,69,-8.8889,13.4836,26,2.115924,1.0,D
angola,2015,70,-15.2246,12.176,25,0.48588473,1.0,A
angola,2015,71,-6.1369,12.3547,20,0.3528143,1.0,D
angola,2015,72,-9.3201,14.9061,25,1.3553777,1.0,C
angola,2015,73,-11.7567,19.9221,22,0.46677342,1.0,A
angola,2015,74,-6.1425,12.3597,20,0.91475946,1.0,D
angola,2015,75,-7.4871,16.2254,26,-1.0396798,0.0,D
angola,2015,76,-8.6153,13.5468,25,1.0188468,0.0,D
angola,2015,77,-4.6535,12.7314,17,0.23624001,0.0,A
angola,2015,78,-6.6133,15.7763,25,-1.0000894,0.0,B
angola,2015,79,-15.6448,20.8918,25,-0.7446426,0.0,D
angola,2015,80,-8.4419,20.7178,25,-0.5438789,1.0,B
angola,2015,81,-12.5861,13.4277,25,1.4651384,1.0,A
angola,2015,82,-5.6015,12.1918,25,1.5684042,1.0,D
angola,2015,83,-15.2006,12.1687,26,1.3404804,1.0,A
angola,2015,84,-17.9576,20.9381,26,-1.1475629,0.0,C
angola,2015,85,-10.7101,22.2136,21,-0.3310722,1.0,D
angola,2015,86,-11.7758,19.9003,26,1.2820568,1.0,A
angola,2015,87,-12.4318,16.7782,16,-0.5224841,0.0,C
angola,2015,88,-15.1426,12.1774,24,0.76053286,1.0,A
angola,2015,89,-17.7782,19.1873,26,-0.9101664,0.0,C
angola,2015,90,-15.0142,19.0301,26,-1.2799233,0.0,C
